Date,Arrivals
1/1/2018,238924
2/1/2018,235618
3/1/2018,233382
4/1/2018,180429
5/1/2018,129466
6/1/2018,146828
7/1/2018,217829
8/1/2018,200359
9/1/2018,149087
10/1/2018,153123
11/1/2018,195582
12/1/2018,253169
1/1/2019,244239
2/1/2019,252033
3/1/2019,244328
4/1/2019,166975
5/1/2019,37802
6/1/2019,63072
7/1/2019,115701
8/1/2019,143587
9/1/2019,108575
10/1/2019,118743
11/1/2019,176984
12/1/2019,241663
1/1/2020,228434
2/1/2020,207507
3/1/2020,71370
4/1/2020,0
5/1/2020,0
6/1/2020,0
7/1/2020,0
8/1/2020,0
9/1/2020,0
10/1/2020,0
11/1/2020,0
12/1/2020,393
1/1/2021,1682
2/1/2021,3366
3/1/2021,4581
4/1/2021,4168
5/1/2021,1497
6/1/2021,1614
7/1/2021,2429
8/1/2021,5040
9/1/2021,13547
10/1/2021,22771
11/1/2021,44294
12/1/2021,89506
1/1/2022,82327
2/1/2022,96507
3/1/2022,106500
4/1/2022,62980
5/1/2022,30207
6/1/2022,32856
7/1/2022,47293
8/1/2022,37760
9/1/2022,29802
10/1/2022,42026
11/1/2022,59759
12/1/2022,91961
1/1/2023,102545
2/1/2023,107639
3/1/2023,125495
4/1/2023,105498
5/1/2023,83309
6/1/2023,100388
7/1/2023,143039
8/1/2023,136405
9/1/2023,111938
10/1/2023,109199
11/1/2023,151496
12/1/2023,210352
1/1/2024,208253
2/1/2024,218350
3/1/2024,209181
4/1/2024,148867
5/1/2024,112128
6/1/2024,113470
7/1/2024,187810
8/1/2024,164609
9/1/2024,122140
10/1/2024,135907
11/1/2024,184158
12/1/2024,248592
1/1/2025,252761
2/1/2025,240217
3/1/2025,229298
4/1/2025,174608
5/1/2025,132919
6/1/2025,138241
7/1/2025,200244
8/1/2025,198235
9/1/2025,158971
10/1/2025,165193
11/1/2025,212906
12/1/2025,258928
1/1/2026,277327
2/1/2026,279328
3/1/2026,183979
4/1/2026,135643
5/1/2026,145745
